raw_value,occurrences,kind,normalized_name,type_prefix,length_ft,confidence,rationale
Delayed due to weather,7,note,Delayed due to weather,,,high,schedule/movement annotation
Dock maintenance - restricted access,7,closure,Dock maintenance,,,high,maintenance restricts access
Holiday,7,event,Holiday,,,high,"calendar event, no vessel"
M/V Golden Current,7,vessel,M/V Golden Current,M/V,,high,recognized vessel type prefix
M/V NORTHERN HERON,7,vessel,M/V Northern Heron,M/V,,high,recognized vessel type prefix
R/V Green Star,7,vessel,R/V Green Star,R/V,,high,recognized vessel type prefix
R/V Wild Ledge,7,vessel,R/V Wild Ledge,R/V,120,high,recognized vessel type prefix
S/V High Meridian,7,vessel,S/V High Meridian,S/V,,high,recognized vessel type prefix
Touch and go,7,note,Touch and go,,,high,schedule/movement annotation
Ultrasonic pier test,7,closure,Ultrasonic pier test,,,high,structural testing of pier
Arrival 1400,6,note,Arrival,,,high,arrival/departure time annotation
Concrete work near test wells,6,closure,Concrete work,,,high,construction work
Departs 0600,6,note,Departure,,,high,arrival/departure time annotation
M/V Deep Reef,6,vessel,M/V Deep Reef,M/V,,medium,registry length conflict 24/100'
M/Y Salt Sound,6,vessel,M/Y Salt Sound,M/Y,,high,recognized vessel type prefix
OSV SILVER TIDE,6,vessel,OSV Silver Tide,OSV,,high,recognized vessel type prefix
R/V Blue Anchor,6,vessel,R/V Blue Anchor,R/V,,high,recognized vessel type prefix
R/V Bright Current,6,vessel,R/V Bright Current,R/V,,high,recognized vessel type prefix
R/V Northern Lantern,6,vessel,R/V Northern Lantern,R/V,,high,recognized vessel type prefix
Road race - access limited,6,event,Road race - access limited,,,high,external event limits access
Student tour,6,event,Student tour,,,high,tour activity
Tug Blue Fathom,6,vessel,Tug Blue Fathom,Tug,,high,recognized vessel type prefix
Water/slops pumping,6,note,Water/slops pumping,,,high,service operation annotation
Barge WESTERN COVE,5,vessel,Barge Western Cove,Barge,,high,recognized vessel type prefix
ETD PM,5,note,ETD,,,high,arrival/departure time annotation
Fueling,5,note,Fueling,,,high,service operation annotation
Load equipment,5,note,Load equipment,,,high,service operation annotation
M/V Grey Compass,5,vessel,M/V Grey Compass,M/V,,high,recognized vessel type prefix
M/Y Long Meridian,5,vessel,M/Y Long Meridian,M/Y,,high,recognized vessel type prefix
Provisioning,5,note,Provisioning,,,high,service operation annotation
R/V Quiet Tern,5,vessel,R/V Quiet Tern,R/V,,high,recognized vessel type prefix
R/V Wild Kestrel,5,vessel,R/V Wild Kestrel,R/V,,high,recognized vessel type prefix
Rescue drill,5,event,Rescue drill,,,high,drill activity
Safety training (RIBs),5,event,Safety training (RIBs),,,high,training activity
Utility work on pier face,5,closure,Utility work,,,high,utility work on berth
Barge Grey Sound,4,vessel,Barge Grey Sound,Barge,,high,recognized vessel type prefix
Bunkering 1000,4,note,Bunkering,,,high,service operation annotation
Departure 0800,4,note,Departure,,,high,arrival/departure time annotation
Donor reception,4,event,Donor reception,,,high,institutional function
Emergency port call,4,event,Emergency port call,,,medium,unnamed vessel visit occupies berth
F/V Coral Marlin,4,vessel,F/V Coral Marlin,F/V,,high,recognized vessel type prefix
F/V SILVER DRIFT,4,vessel,F/V Silver Drift,F/V,,high,recognized vessel type prefix
M/V DEEP SOUND,4,vessel,M/V Deep Sound,M/V,,high,recognized vessel type prefix
M/V Iron Heron,4,vessel,M/V Iron Heron,M/V,100,high,recognized vessel type prefix
M/V Long Sound,4,vessel,M/V Long Sound,M/V,,high,recognized vessel type prefix
M/V Northern Harbor,4,vessel,M/V Northern Harbor,M/V,,high,recognized vessel type prefix
M/V Wild Reef,4,vessel,M/V Wild Reef,M/V,,high,recognized vessel type prefix
M/Y Salt Horizon,4,vessel,M/Y Salt Horizon,M/Y,,high,recognized vessel type prefix
M/Y Wild Ketch,4,vessel,M/Y Wild Ketch,M/Y,,high,recognized vessel type prefix
OSV Golden Ketch,4,vessel,OSV Golden Ketch,OSV,,high,recognized vessel type prefix
Paving near dock entrance,4,closure,Paving near dock entrance,,,medium,"works near dock, access limited"
Pier repair - no docking,4,closure,Pier repair,,,high,"repair, docking forbidden"
R/V Blue Ledge,4,vessel,R/V Blue Ledge,R/V,,high,recognized vessel type prefix
R/V CORAL TERN,4,vessel,R/V Coral Tern,R/V,,high,recognized vessel type prefix
R/V Northern Star,4,vessel,R/V Northern Star,R/V,,high,recognized vessel type prefix
R/V Silver Petrel,4,vessel,R/V Silver Petrel,R/V,,high,recognized vessel type prefix
Science stroll,4,event,Science stroll,,,high,public outreach activity
Tug Northern Beacon,4,vessel,Tug Northern Beacon,Tug,,high,recognized vessel type prefix
Arrives AM,3,note,Arrival,,,high,arrival/departure time annotation
Barge Long Voyager,3,vessel,Barge Long Voyager,Barge,,high,recognized vessel type prefix
Barge Western Cove,3,vessel,Barge Western Cove,Barge,,high,recognized vessel type prefix
Barge Western Voyager,3,vessel,Barge Western Voyager,Barge,,high,recognized vessel type prefix
Barge Wild Skua,3,vessel,Barge Wild Skua,Barge,,high,recognized vessel type prefix
Dive training,3,event,Dive training,,,high,training activity
F/V High Skua,3,vessel,F/V High Skua,F/V,120,high,recognized vessel type prefix
F/V IRON SEXTANT,3,vessel,F/V Iron Sextant,F/V,,high,recognized vessel type prefix
F/V Iron Wind,3,vessel,F/V Iron Wind,F/V,,high,recognized vessel type prefix
F/V Long Heron,3,vessel,F/V Long Heron,F/V,,high,recognized vessel type prefix
F/V SWIFT MERIDIAN,3,vessel,F/V Swift Meridian,F/V,,high,recognized vessel type prefix
F/V Salt Ketch,3,vessel,F/V Salt Ketch,F/V,,high,recognized vessel type prefix
F/V Western Gannet,3,vessel,F/V Western Gannet,F/V,,high,recognized vessel type prefix
Film crew on dock,3,event,Film crew on dock,,,high,non-vessel activity on dock
M/V Bright Cove,3,vessel,M/V Bright Cove,M/V,,high,recognized vessel type prefix
M/V Bright Reef,3,vessel,M/V Bright Reef,M/V,,high,recognized vessel type prefix
M/V Deep Drift,3,vessel,M/V Deep Drift,M/V,,high,recognized vessel type prefix
M/V Green Anchor,3,vessel,M/V Green Anchor,M/V,,high,recognized vessel type prefix
M/V Salt Tern,3,vessel,M/V Salt Tern,M/V,,high,recognized vessel type prefix
M/Y Blue Tide,3,vessel,M/Y Blue Tide,M/Y,,high,recognized vessel type prefix
M/Y Deep Compass,3,vessel,M/Y Deep Compass,M/Y,,high,recognized vessel type prefix
OSV Far Tide,3,vessel,OSV Far Tide,OSV,,high,recognized vessel type prefix
OSV WILD STAR,3,vessel,OSV Wild Star,OSV,,high,recognized vessel type prefix
OSV Western Reef,3,vessel,OSV Western Reef,OSV,,high,recognized vessel type prefix
Public open house,3,event,Public open house,,,high,public activity
R/V Blue Voyager,3,vessel,R/V Blue Voyager,R/V,,high,recognized vessel type prefix
R/V Bright Strand,3,vessel,R/V Bright Strand,R/V,,high,recognized vessel type prefix
R/V Coral Strand,3,vessel,R/V Coral Strand,R/V,,high,recognized vessel type prefix
R/V Iron Ketch,3,vessel,R/V Iron Ketch,R/V,46,high,recognized vessel type prefix
R/V Quiet Heron,3,vessel,R/V Quiet Heron,R/V,,high,recognized vessel type prefix
R/V SALT DRIFT,3,vessel,R/V Salt Drift,R/V,85,high,recognized vessel type prefix
R/V WILD TIDE,3,vessel,R/V Wild Tide,R/V,,high,recognized vessel type prefix
R/V Wild Current,3,vessel,R/V Wild Current,R/V,,high,recognized vessel type prefix
Tug Clear Anchor,3,vessel,Tug Clear Anchor,Tug,,high,recognized vessel type prefix
Tug Coral Reef,3,vessel,Tug Coral Reef,Tug,,high,recognized vessel type prefix
Tug Swift Anchor,3,vessel,Tug Swift Anchor,Tug,,high,recognized vessel type prefix
Barge BRIGHT STAR,2,vessel,Barge Bright Star,Barge,,high,recognized vessel type prefix
Barge Bright Sound,2,vessel,Barge Bright Sound,Barge,,high,recognized vessel type prefix
Barge Deep Tern,2,vessel,Barge Deep Tern,Barge,,high,recognized vessel type prefix
Barge Grey Dory,2,vessel,Barge Grey Dory,Barge,,high,recognized vessel type prefix
Barge Northern Anchor,2,vessel,Barge Northern Anchor,Barge,,high,recognized vessel type prefix
Barge SILVER BEACON,2,vessel,Barge Silver Beacon,Barge,,high,recognized vessel type prefix
Barge Swift Tern,2,vessel,Barge Swift Tern,Barge,,high,recognized vessel type prefix
Dock inspection,2,closure,Dock inspection,,,medium,inspection restricts berth use
F/V Bright Ketch,2,vessel,F/V Bright Ketch,F/V,,high,recognized vessel type prefix
F/V Clear Skua,2,vessel,F/V Clear Skua,F/V,,high,recognized vessel type prefix
F/V Grey Gannet,2,vessel,F/V Grey Gannet,F/V,,high,recognized vessel type prefix
F/V LONG STRAND,2,vessel,F/V Long Strand,F/V,,high,recognized vessel type prefix
F/V NORTHERN VOYAGER,2,vessel,F/V Northern Voyager,F/V,,high,recognized vessel type prefix
F/V Quiet Skua,2,vessel,F/V Quiet Skua,F/V,,high,recognized vessel type prefix
F/V Silver Lantern,2,vessel,F/V Silver Lantern,F/V,,high,recognized vessel type prefix
F/V Swift Fathom,2,vessel,F/V Swift Fathom,F/V,,high,recognized vessel type prefix
F/V Western Meridian,2,vessel,F/V Western Meridian,F/V,,high,recognized vessel type prefix
M/V Amber Skua,2,vessel,M/V Amber Skua,M/V,,high,recognized vessel type prefix
M/V BRIGHT GANNET,2,vessel,M/V Bright Gannet,M/V,,high,recognized vessel type prefix
M/V Blue Lantern,2,vessel,M/V Blue Lantern,M/V,,high,recognized vessel type prefix
M/V Coral Kestrel,2,vessel,M/V Coral Kestrel,M/V,,high,recognized vessel type prefix
M/V Coral Lantern,2,vessel,M/V Coral Lantern,M/V,,high,recognized vessel type prefix
M/V DEEP LEDGE,2,vessel,M/V Deep Ledge,M/V,,high,recognized vessel type prefix
M/V Deep Anchor,2,vessel,M/V Deep Anchor,M/V,,high,recognized vessel type prefix
M/V GREY HARBOR,2,vessel,M/V Grey Harbor,M/V,,high,recognized vessel type prefix
M/V Golden Drift,2,vessel,M/V Golden Drift,M/V,,high,recognized vessel type prefix
M/V Golden Ledge,2,vessel,M/V Golden Ledge,M/V,,high,recognized vessel type prefix
M/V High Wind,2,vessel,M/V High Wind,M/V,,high,recognized vessel type prefix
M/V Iron Horizon,2,vessel,M/V Iron Horizon,M/V,,high,recognized vessel type prefix
M/V Long Cove,2,vessel,M/V Long Cove,M/V,,high,recognized vessel type prefix
M/V Northern Tide,2,vessel,M/V Northern Tide,M/V,,high,recognized vessel type prefix
M/V Quiet Current,2,vessel,M/V Quiet Current,M/V,,high,recognized vessel type prefix
M/V SALT MERIDIAN,2,vessel,M/V Salt Meridian,M/V,,high,recognized vessel type prefix
M/V SILVER SOUND,2,vessel,M/V Silver Sound,M/V,,high,recognized vessel type prefix
M/V Wild Compass,2,vessel,M/V Wild Compass,M/V,,high,recognized vessel type prefix
M/Y Golden Harbor,2,vessel,M/Y Golden Harbor,M/Y,,high,recognized vessel type prefix
M/Y High Sextant,2,vessel,M/Y High Sextant,M/Y,,high,recognized vessel type prefix
M/Y Silver Ketch,2,vessel,M/Y Silver Ketch,M/Y,,high,recognized vessel type prefix
M/Y Western Beacon,2,vessel,M/Y Western Beacon,M/Y,,high,recognized vessel type prefix
M/Y Western Star,2,vessel,M/Y Western Star,M/Y,,high,recognized vessel type prefix
OSV Blue Osprey,2,vessel,OSV Blue Osprey,OSV,,high,recognized vessel type prefix
OSV Clear Marlin,2,vessel,OSV Clear Marlin,OSV,,high,recognized vessel type prefix
OSV Grey Fathom,2,vessel,OSV Grey Fathom,OSV,,high,recognized vessel type prefix
OSV High Harbor,2,vessel,OSV High Harbor,OSV,,high,recognized vessel type prefix
OSV Quiet Ketch,2,vessel,OSV Quiet Ketch,OSV,,high,recognized vessel type prefix
OSV Western Tern,2,vessel,OSV Western Tern,OSV,,high,recognized vessel type prefix
R/V Amber Harbor,2,vessel,R/V Amber Harbor,R/V,,high,recognized vessel type prefix
R/V BRIGHT HARBOR,2,vessel,R/V Bright Harbor,R/V,,high,recognized vessel type prefix
R/V Blue Ketch,2,vessel,R/V Blue Ketch,R/V,,high,recognized vessel type prefix
R/V Bright Tide,2,vessel,R/V Bright Tide,R/V,,high,recognized vessel type prefix
R/V CLEAR TERN,2,vessel,R/V Clear Tern,R/V,120,high,recognized vessel type prefix
R/V Clear Drift,2,vessel,R/V Clear Drift,R/V,,high,recognized vessel type prefix
R/V Coral Harbor,2,vessel,R/V Coral Harbor,R/V,,high,recognized vessel type prefix
R/V DEEP OSPREY,2,vessel,R/V Deep Osprey,R/V,,high,recognized vessel type prefix
R/V Deep Star,2,vessel,R/V Deep Star,R/V,,high,recognized vessel type prefix
R/V Far Sextant,2,vessel,R/V Far Sextant,R/V,,high,recognized vessel type prefix
R/V GOLDEN VOYAGER,2,vessel,R/V Golden Voyager,R/V,,high,recognized vessel type prefix
R/V Green Sextant,2,vessel,R/V Green Sextant,R/V,,high,recognized vessel type prefix
R/V Grey Wind,2,vessel,R/V Grey Wind,R/V,,high,recognized vessel type prefix
R/V High Horizon,2,vessel,R/V High Horizon,R/V,,high,recognized vessel type prefix
R/V Northern Meridian,2,vessel,R/V Northern Meridian,R/V,,high,recognized vessel type prefix
R/V Northern Osprey,2,vessel,R/V Northern Osprey,R/V,,high,recognized vessel type prefix
R/V Northern Strand,2,vessel,R/V Northern Strand,R/V,,high,recognized vessel type prefix
R/V Quiet Kestrel,2,vessel,R/V Quiet Kestrel,R/V,,high,recognized vessel type prefix
R/V Western Kestrel,2,vessel,R/V Western Kestrel,R/V,,high,recognized vessel type prefix
R/V Wild Harbor,2,vessel,R/V Wild Harbor,R/V,,high,recognized vessel type prefix
Returns from sea trials,2,note,Returns from sea trials,,,high,movement annotation
S/V AMBER FATHOM,2,vessel,S/V Amber Fathom,S/V,,high,recognized vessel type prefix
S/V Blue Beacon,2,vessel,S/V Blue Beacon,S/V,,high,recognized vessel type prefix
S/V Deep Dory,2,vessel,S/V Deep Dory,S/V,,high,recognized vessel type prefix
S/V Far Tern,2,vessel,S/V Far Tern,S/V,,high,recognized vessel type prefix
S/V GREEN OSPREY,2,vessel,S/V Green Osprey,S/V,,high,recognized vessel type prefix
S/V IRON PETREL,2,vessel,S/V Iron Petrel,S/V,,high,recognized vessel type prefix
S/V Quiet Drift,2,vessel,S/V Quiet Drift,S/V,,high,recognized vessel type prefix
S/V Salt Anchor,2,vessel,S/V Salt Anchor,S/V,,high,recognized vessel type prefix
S/V Silver Cove,2,vessel,S/V Silver Cove,S/V,,high,recognized vessel type prefix
S/V Swift Wind,2,vessel,S/V Swift Wind,S/V,,high,recognized vessel type prefix
S/V Western Compass,2,vessel,S/V Western Compass,S/V,,high,recognized vessel type prefix
Tug Amber Strand,2,vessel,Tug Amber Strand,Tug,,high,recognized vessel type prefix
Tug Green Fathom,2,vessel,Tug Green Fathom,Tug,,high,recognized vessel type prefix
Tug Green Sound,2,vessel,Tug Green Sound,Tug,,high,recognized vessel type prefix
Tug WILD GANNET,2,vessel,Tug Wild Gannet,Tug,,high,recognized vessel type prefix
Tug Western Heron,2,vessel,Tug Western Heron,Tug,,high,recognized vessel type prefix
Wire spooling,2,note,Wire spooling,,,medium,deck operation on berthed vessel
Barge BLUE HORIZON,1,vessel,Barge Blue Horizon,Barge,,high,recognized vessel type prefix
Barge Blue Current,1,vessel,Barge Blue Current,Barge,,high,recognized vessel type prefix
Barge Blue Petrel,1,vessel,Barge Blue Petrel,Barge,,high,recognized vessel type prefix
Barge Blue Sextant,1,vessel,Barge Blue Sextant,Barge,,high,recognized vessel type prefix
Barge Blue Wind,1,vessel,Barge Blue Wind,Barge,,high,recognized vessel type prefix
Barge Bright Osprey,1,vessel,Barge Bright Osprey,Barge,,high,recognized vessel type prefix
Barge Bright Tern,1,vessel,Barge Bright Tern,Barge,,high,recognized vessel type prefix
Barge CORAL TIDE,1,vessel,Barge Coral Tide,Barge,,high,recognized vessel type prefix
Barge Clear Ledge,1,vessel,Barge Clear Ledge,Barge,,high,recognized vessel type prefix
Barge Coral Skua,1,vessel,Barge Coral Skua,Barge,,high,recognized vessel type prefix
Barge DEEP LANTERN,1,vessel,Barge Deep Lantern,Barge,,high,recognized vessel type prefix
Barge Far Cove,1,vessel,Barge Far Cove,Barge,,high,recognized vessel type prefix
Barge Golden Star,1,vessel,Barge Golden Star,Barge,,high,recognized vessel type prefix
Barge High Osprey,1,vessel,Barge High Osprey,Barge,,high,recognized vessel type prefix
Barge High Voyager,1,vessel,Barge High Voyager,Barge,100,high,recognized vessel type prefix
Barge Iron Kestrel,1,vessel,Barge Iron Kestrel,Barge,,high,recognized vessel type prefix
Barge Quiet Horizon,1,vessel,Barge Quiet Horizon,Barge,,high,recognized vessel type prefix
Barge Quiet Lantern,1,vessel,Barge Quiet Lantern,Barge,,high,recognized vessel type prefix
Barge Quiet Wind,1,vessel,Barge Quiet Wind,Barge,,high,recognized vessel type prefix
Barge Salt Compass,1,vessel,Barge Salt Compass,Barge,,high,recognized vessel type prefix
Barge Salt Reef,1,vessel,Barge Salt Reef,Barge,,high,recognized vessel type prefix
Barge WILD OSPREY,1,vessel,Barge Wild Osprey,Barge,,high,recognized vessel type prefix
Barge Western Dory,1,vessel,Barge Western Dory,Barge,,high,recognized vessel type prefix
Crane access - berth closed,1,closure,Crane access - berth closed,,,high,explicitly says berth closed
F/V AMBER BEACON,1,vessel,F/V Amber Beacon,F/V,,high,recognized vessel type prefix
F/V Amber Current,1,vessel,F/V Amber Current,F/V,,high,recognized vessel type prefix
F/V Amber Sound,1,vessel,F/V Amber Sound,F/V,,high,recognized vessel type prefix
F/V CLEAR KETCH,1,vessel,F/V Clear Ketch,F/V,,high,recognized vessel type prefix
F/V Clear Compass,1,vessel,F/V Clear Compass,F/V,,high,recognized vessel type prefix
F/V Clear Voyager,1,vessel,F/V Clear Voyager,F/V,,high,recognized vessel type prefix
F/V Coral Sextant,1,vessel,F/V Coral Sextant,F/V,,high,recognized vessel type prefix
F/V Deep Cove,1,vessel,F/V Deep Cove,F/V,,high,recognized vessel type prefix
F/V Far Sound,1,vessel,F/V Far Sound,F/V,,high,recognized vessel type prefix
F/V GREY ANCHOR,1,vessel,F/V Grey Anchor,F/V,,high,recognized vessel type prefix
F/V Golden Sextant,1,vessel,F/V Golden Sextant,F/V,,high,recognized vessel type prefix
F/V Green Dory,1,vessel,F/V Green Dory,F/V,,high,recognized vessel type prefix
F/V Green Reef,1,vessel,F/V Green Reef,F/V,,high,recognized vessel type prefix
F/V Grey Meridian,1,vessel,F/V Grey Meridian,F/V,,high,recognized vessel type prefix
F/V High Lantern,1,vessel,F/V High Lantern,F/V,,high,recognized vessel type prefix
F/V IRON LEDGE,1,vessel,F/V Iron Ledge,F/V,,high,recognized vessel type prefix
F/V Iron Sextant,1,vessel,F/V Iron Sextant,F/V,,high,recognized vessel type prefix
F/V Iron Tide,1,vessel,F/V Iron Tide,F/V,,high,recognized vessel type prefix
F/V LONG BEACON,1,vessel,F/V Long Beacon,F/V,,high,recognized vessel type prefix
F/V Long Drift,1,vessel,F/V Long Drift,F/V,,high,recognized vessel type prefix
F/V NORTHERN TERN,1,vessel,F/V Northern Tern,F/V,,high,recognized vessel type prefix
F/V Northern Dory,1,vessel,F/V Northern Dory,F/V,,high,recognized vessel type prefix
F/V Salt Harbor,1,vessel,F/V Salt Harbor,F/V,,high,recognized vessel type prefix
F/V Silver Reef,1,vessel,F/V Silver Reef,F/V,,high,recognized vessel type prefix
F/V Silver Strand,1,vessel,F/V Silver Strand,F/V,,high,recognized vessel type prefix
F/V Swift Compass,1,vessel,F/V Swift Compass,F/V,,high,recognized vessel type prefix
F/V Swift Dory,1,vessel,F/V Swift Dory,F/V,,high,recognized vessel type prefix
F/V Swift Horizon,1,vessel,F/V Swift Horizon,F/V,,high,recognized vessel type prefix
F/V Western Osprey,1,vessel,F/V Western Osprey,F/V,,high,recognized vessel type prefix
M/V Amber Dory,1,vessel,M/V Amber Dory,M/V,,high,recognized vessel type prefix
M/V Amber Ketch,1,vessel,M/V Amber Ketch,M/V,,high,recognized vessel type prefix
M/V Amber Meridian,1,vessel,M/V Amber Meridian,M/V,,high,recognized vessel type prefix
M/V Amber Petrel,1,vessel,M/V Amber Petrel,M/V,,high,recognized vessel type prefix
M/V Amber Tern,1,vessel,M/V Amber Tern,M/V,,high,recognized vessel type prefix
M/V Blue Gannet,1,vessel,M/V Blue Gannet,M/V,,high,recognized vessel type prefix
M/V Blue Strand,1,vessel,M/V Blue Strand,M/V,,high,recognized vessel type prefix
M/V Blue Tern,1,vessel,M/V Blue Tern,M/V,52,high,recognized vessel type prefix
M/V Bright Beacon,1,vessel,M/V Bright Beacon,M/V,,high,recognized vessel type prefix
M/V Bright Drift,1,vessel,M/V Bright Drift,M/V,,high,recognized vessel type prefix
M/V Bright Lantern,1,vessel,M/V Bright Lantern,M/V,,high,recognized vessel type prefix
M/V Bright Skua,1,vessel,M/V Bright Skua,M/V,,high,recognized vessel type prefix
M/V Bright Voyager,1,vessel,M/V Bright Voyager,M/V,,high,recognized vessel type prefix
M/V CORAL STAR,1,vessel,M/V Coral Star,M/V,,high,recognized vessel type prefix
M/V Clear Current,1,vessel,M/V Clear Current,M/V,,high,recognized vessel type prefix
M/V Clear Tide,1,vessel,M/V Clear Tide,M/V,,high,recognized vessel type prefix
M/V Coral Beacon,1,vessel,M/V Coral Beacon,M/V,,high,recognized vessel type prefix
M/V Coral Horizon,1,vessel,M/V Coral Horizon,M/V,,high,recognized vessel type prefix
M/V Coral Ledge,1,vessel,M/V Coral Ledge,M/V,,high,recognized vessel type prefix
M/V Coral Petrel,1,vessel,M/V Coral Petrel,M/V,,high,recognized vessel type prefix
M/V Deep Beacon,1,vessel,M/V Deep Beacon,M/V,,high,recognized vessel type prefix
M/V Deep Ledge,1,vessel,M/V Deep Ledge,M/V,,high,recognized vessel type prefix
M/V Deep Marlin,1,vessel,M/V Deep Marlin,M/V,,high,recognized vessel type prefix
M/V FAR KESTREL,1,vessel,M/V Far Kestrel,M/V,,high,recognized vessel type prefix
M/V Far Beacon,1,vessel,M/V Far Beacon,M/V,,high,recognized vessel type prefix
M/V Far Drift,1,vessel,M/V Far Drift,M/V,,high,recognized vessel type prefix
M/V Far Heron,1,vessel,M/V Far Heron,M/V,,high,recognized vessel type prefix
M/V Far Voyager,1,vessel,M/V Far Voyager,M/V,,high,recognized vessel type prefix
M/V GOLDEN STRAND,1,vessel,M/V Golden Strand,M/V,,high,recognized vessel type prefix
M/V GREEN GANNET,1,vessel,M/V Green Gannet,M/V,,high,recognized vessel type prefix
M/V Golden Gannet,1,vessel,M/V Golden Gannet,M/V,,high,recognized vessel type prefix
M/V Golden Skua,1,vessel,M/V Golden Skua,M/V,52,high,recognized vessel type prefix
M/V Green Beacon,1,vessel,M/V Green Beacon,M/V,,high,recognized vessel type prefix
