sheet_year,block_label,row_index,col,day_if_in_block,raw_value,fill
2013,JULY 2013,82,T,15,Campus event,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,JULY 2013,82,AE,26,Wire spooling,""
2013,AUGUST 2013,91,O,10,Tug Deep Current,""
2013,AUGUST 2013,91,AB,23,R/V Western Kestrel,""
2013,AUGUST 2013,94,K,6,Public open house,""
2013,AUGUST 2013,94,M,8,Bunker barge,"solid|fg=rgb=""FFF0FF63"" |bg=indexed=""64"""
2013,SEPTEMBER 2013,103,B,-3,R/V Western Kestrel,""
2013,SEPTEMBER 2013,103,O,10,M/V Iron Tern,"solid|fg=theme=""2"" tint=""-0.09997863704336681"" |bg=indexed=""64"""
2013,SEPTEMBER 2013,105,R,13,Bunkering,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,OCTOBER 2013,116,F,1,"Bollard replacement, west face","solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,OCTOBER 2013,116,M,8,Dock maintenance - restricted access,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,OCTOBER 2013,116,AD,25,Donor reception,""
2013,OCTOBER 2013,116,AG,28,Concrete work near test wells,""
2013,DECEMBER 2013,138,O,10,Barge Iron Kestrel,""
2014,January,17,G,5,R/V Bright Tide,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2014,February,29,U,15,Campus event,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2014,February,29,W,17,Load equipment,""
2014,February,29,AJ,30,Student tour,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2014,March,41,J,4,M/Y Green Tide,""
2014,March,41,M,7,Road race - access limited,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2014,March,41,Q,11,"Bollard replacement, west face","solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2014,April,53,G,1,Water/slops pumping,"solid|fg=rgb=""FFFFC000"" |bg=indexed=""64"""
2014,May,65,H,2,Bunkering,""
2014,May,65,U,15,F/V AMBER BEACON,""
2014,May,65,V,16,R/V GREEN DRIFT,""
2014,May,65,Z,20,Bunkering,""
2014,May,65,AA,21,Bunkering 1000,"solid|fg=rgb=""FFF0FF63"" |bg=rgb=""FF000000"""
2014,May,65,AG,27,F/V Quiet Skua,""
2014,May,65,AI,29,F/V Quiet Skua,""
2014,June,77,AF,26,Dock inspection,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2014,July,90,AA,21,Campus event,"solid|fg=rgb=""FFF0FF63"" |bg=indexed=""64"""
2014,July,90,AD,24,Utility work on pier face,""
2014,August,102,W,17,M/V Far Heron,""
2014,August,102,AB,22,Tug Northern Beacon,""
2014,August,103,AB,22,Tug Deep Fathom,""
2014,August,103,AD,24,M/V Bright Voyager,""
2014,November,139,AG,27,Bunkering,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2015,May,65,AE,24,Road race - access limited,"solid|fg=rgb=""FFFFFD78"" |bg=indexed=""64"""
2015,June,76,N,7,Pier repair - no docking,""
2015,June,77,M,6,Fuel truck,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2015,June,77,N,7,Fueling @0800,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2015,June,77,AC,22,Fueling @0800,"solid|fg=theme=""9"" tint=""0.3999755851924192"" |bg=indexed=""64"""
2015,July,88,B,-5,F/V Western Sound,"solid|fg=rgb=""FF00B050"" |bg=rgb=""FF000000"""
2015,July,88,C,-4,R/V Long Ketch,"solid|fg=rgb=""FF60497A"" |bg=rgb=""FF000000"""
2015,July,88,D,-3,M/V GREY COMPASS,"solid|fg=rgb=""FFF79646"" |bg=rgb=""FF000000"""
2015,July,88,F,-1,Barge SILVER VOYAGER,"solid|fg=rgb=""FF31869B"" |bg=rgb=""FF000000"""
2015,July,88,G,0,OSV AMBER REEF,"solid|fg=rgb=""FF008000"" |bg=rgb=""FF000000"""
2015,July,88,I,2,OSV Silver Tide,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2015,July,88,K,4,M/V NORTHERN HARBOR,"solid|fg=rgb=""FFC00000"" |bg=rgb=""FF000000"""
2015,July,88,M,6,R/V GOLDEN COMPASS,"solid|fg=rgb=""FF4F81BD"" |bg=rgb=""FF000000"""
2015,July,88,O,8,ETA 1200,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2015,July,88,S,12,S/V Green Skua,""
2015,July,89,S,12,Community sail day,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2015,July,89,V,15,Fuel truck,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2015,July,89,AA,20,Road race - access limited,""
2015,August,102,AG,26,M/Y Quiet Cove,""
2015,September,114,AA,20,Fueling,""
2015,October,126,Q,10,S/V SALT KESTREL,""
2015,October,126,AE,24,Holiday,""
2016,March,42,S,17,Concrete work near test wells,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2016,April,54,C,1,Ultrasonic pier test,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2016,April,54,Y,23,Bunkering 1000,""
2016,April,54,AB,26,Load equipment,""
2016,April,54,AD,28,Bunker barge,""
2016,April,54,AF,30,Bunker barge,""
2016,April,54,AG,31,Fueling @0800,""
2016,May,65,O,13,M/V Swift Voyager,"solid|fg=theme=""2"" tint=""-0.249977111117893"" |bg=indexed=""64"""
2016,May,66,G,5,M/V Northern Tide,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2016,May,66,S,17,M/V Northern Tide,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2016,July,90,L,10,Safety training (RIBs),"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2016,July,90,T,18,Film crew on dock,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2016,July,90,U,19,Pier repair - no docking,"solid|fg=rgb=""FFC00000"" |bg=indexed=""64"""
2016,August,102,L,10,Dive training,"solid|fg=theme=""6"" |bg=indexed=""64"""
2016,August,102,W,21,R/V Blue Meridian,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2016,August,103,C,1,"Bollard replacement, west face","solid|fg=rgb=""FFC00000"" |bg=rgb=""FF000000"""
2016,August,103,K,9,R/V Silver Petrel,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2016,August,103,P,14,"Bollard replacement, west face","solid|fg=rgb=""FFC00000"" |bg=indexed=""64"""
2016,September,115,C,1,R/V Silver Petrel,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2016,December,151,B,0,F/V Western Sound,"solid|fg=rgb=""FF00B050"" |bg=rgb=""FF000000"""
2016,December,151,G,5,R/V Long Ketch,"solid|fg=rgb=""FF60497A"" |bg=rgb=""FF000000"""
2016,December,151,H,6,M/V GREY COMPASS,"solid|fg=rgb=""FFF79646"" |bg=rgb=""FF000000"""
2016,December,151,J,8,Barge SILVER VOYAGER,"solid|fg=rgb=""FF31869B"" |bg=rgb=""FF000000"""
2016,December,151,K,9,OSV AMBER REEF,"solid|fg=rgb=""FF008000"" |bg=rgb=""FF000000"""
2016,December,151,M,11,OSV Silver Tide,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2016,December,151,O,13,M/V NORTHERN HARBOR,"solid|fg=rgb=""FFC00000"" |bg=rgb=""FF000000"""
2016,December,151,P,14,Tug Salt Tide,"solid|fg=theme=""9"" |bg=indexed=""64"""
2016,December,151,Q,15,R/V GOLDEN COMPASS,"solid|fg=rgb=""FF4F81BD"" |bg=rgb=""FF000000"""
2016,December,151,R,16,Tug Coral Reef,"solid|fg=rgb=""FFFFC000"" |bg=indexed=""64"""
2016,December,151,V,20,F/V SALT FATHOM,"solid|fg=rgb=""FF942093"" |bg=indexed=""64"""
2017,January,17,Z,24,Dock maintenance - restricted access,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2017,February,29,AC,27,Fueling @0800,""
2017,August,102,D,2,Bunkering,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2017,August,102,Q,15,R/V Silver Petrel,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2017,December,151,B,0,F/V Western Sound,"solid|fg=rgb=""FF00B050"" |bg=rgb=""FF000000"""
2017,December,151,G,5,R/V Long Ketch,"solid|fg=rgb=""FF60497A"" |bg=rgb=""FF000000"""
2017,December,151,H,6,M/V GREY COMPASS,"solid|fg=rgb=""FFF79646"" |bg=rgb=""FF000000"""
2017,December,151,J,8,Barge SILVER VOYAGER,"solid|fg=rgb=""FF31869B"" |bg=rgb=""FF000000"""
2017,December,151,K,9,OSV AMBER REEF,"solid|fg=rgb=""FF008000"" |bg=rgb=""FF000000"""
2017,December,151,M,11,OSV Silver Tide,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2017,December,151,O,13,M/V NORTHERN HARBOR,"solid|fg=rgb=""FFC00000"" |bg=rgb=""FF000000"""
2017,December,151,Q,15,R/V GOLDEN COMPASS,"solid|fg=rgb=""FF4F81BD"" |bg=rgb=""FF000000"""
2017,December,151,S,17,Arrival 1400,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2017,December,151,U,19,F/V SALT FATHOM,"solid|fg=rgb=""FF942093"" |bg=indexed=""64"""
